"filename", "language", "JavaScript", "Properties", "JSON", "HTML", "Markdown", "JavaScript JSX", "XML", "CSS", "MS SQL", "comment", "blank", "total"
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250329062547_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 68, 13, 20, 101
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250329085309_migration_name\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 24, 12, 8, 44
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250407095028_add_order_table\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 10, 58
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250422080434_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 4, 22
"c:\Users\dell\Desktop\MargaretCafe\backend\prisma\migrations\20250427102449_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 3, 20
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\adminRoutes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\cartRoutes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\dashboardRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\orderRoutes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\paymentRoutes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\profileRoutes.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\reservationRoutes.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\dell\Desktop\MargaretCafe\backend\routes\userRoutes.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\dell\Desktop\MargaretCafe\backend\server.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 71
"c:\Users\dell\Desktop\MargaretCafe\frontend\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"c:\Users\dell\Desktop\MargaretCafe\frontend\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\dell\Desktop\MargaretCafe\frontend\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\dell\Desktop\MargaretCafe\frontend\package-lock.json", "JSON", 0, 0, 4358, 0, 0, 0, 0, 0, 0, 0, 1, 4359
